#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
29.12.82;;;129,277;190,857;348,13;141,24;;8016,67
30.12.82;;;129,036;190,622;348,13;140,33;;8016,67
31.12.82;;;128,701;189,778;384,586;140,64;;8016,67
03.01.83;;;129,483;191,403;384,586;138,34;;8016,67
04.01.83;;;129,717;192,286;384,586;141,35;;8021,4
05.01.83;;;131,965;194,067;384,586;141,96;;8066,15
06.01.83;;;132,172;194,682;384,586;145,27;;8120,51
07.01.83;;;132,899;195,863;384,586;145,18;;8169,29
10.01.83;;;132,861;197,292;384,586;146,78;;8172,66
11.01.83;;;130,181;193,516;384,586;145,78;;8079,63
12.01.83;;;129,621;191,863;384,586;146,69;;8039,85
13.01.83;;;130,74;193,891;384,586;145,72;;8099,06
14.01.83;;;131,162;193,66;384,586;146,65;;8088,53
17.01.83;;;132,627;195,545;384,586;146,71;;8082,73
18.01.83;;;130,186;191,854;384,586;146,4;;8028,28
19.01.83;;;130,195;190,31;384,586;145,27;;7968,68
20.01.83;;;130,471;189,603;384,586;146,29;;7923,31
21.01.83;;;130,132;190,147;384,586;143,85;;7989,41
24.01.83;;;125,54;183,29;384,586;139,97;;7833,99
25.01.83;;;127,526;186,075;384,586;141,75;;7803,18
26.01.83;;;128,33;188,441;384,586;141,54;;7962,51
27.01.83;;;127,611;186,967;384,586;144,27;;7942,32
28.01.83;;;129,065;188,636;384,586;144,51;;8014,61
31.01.83;;;128,532;187,65;376,91;145,3;;8103,47
01.02.83;;;128,53;187,697;376,91;142,96;;8105,52
02.02.83;;;127,276;185,892;376,91;143,23;;8108,05
03.02.83;;;129,249;186,978;376,91;144,26;;7991,29
04.02.83;;;128,562;186,055;376,91;146,14;;8012,64
07.02.83;;;129,106;186,746;376,91;146,93;;8010,91
08.02.83;;;131,934;189,881;376,91;145,7;;8027,2
09.02.83;;;132,681;190,523;376,91;145;;7995,93
10.02.83;;;133,351;191,116;376,91;147,5;;8017,56
11.02.83;;;135,267;193,133;376,91;147,63;;8017,56
14.02.83;;;134,737;193,878;376,91;148,92;;8132,02
15.02.83;;;135,909;195,499;376,91;148,3;;8135,42
16.02.83;;;135,872;195,336;376,91;147,43;;8145,41
17.02.83;;;134,753;194,636;376,91;147,44;;8106,27
18.02.83;;;135,503;194,403;376,91;148;;8048,31
21.02.83;;;135,63;193,68;376,91;148;;7987,27
22.02.83;;;134,452;191,923;376,91;145,48;;7918,16
23.02.83;;;133,202;191,037;376,91;146,79;;7931,65
24.02.83;;;134,708;192,934;376,91;149,6;;7984,25
25.02.83;;;135,116;194,44;376,91;149,74;;8056,04
28.02.83;;;133,121;192,349;382,846;148,06;;8085,57
01.03.83;;;132,653;190,791;382,846;150,88;;7988,85
02.03.83;;;134,355;192,483;382,846;152,3;;8013,3
03.03.83;;;135,974;194,225;382,846;153,48;;8005,02
04.03.83;;;136,668;194,978;382,846;153,67;;8014,7
07.03.83;;;138,978;197,531;382,846;153,67;;8041,16
08.03.83;;;137,338;194,501;382,846;151,26;;8026,99
09.03.83;;;136,946;194,189;382,846;152,87;;8008,25
10.03.83;;;139,085;195,933;382,846;151,8;;8027,64
11.03.83;;;137,663;195,032;382,846;151,24;;8081,44
14.03.83;;;138,728;196,31;382,846;150,83;;8089,03
15.03.83;;;139,641;197,545;382,846;151,36;;8111,83
16.03.83;;;139,364;198,096;382,846;149,8;;8170,13
17.03.83;;;138,817;197,482;382,846;149,59;;8195,14
18.03.83;;;138,103;196,693;382,846;149,9;;8234,9
21.03.83;;;135,22;193,844;382,846;151,19;;8234,9
22.03.83;;;137,334;196,907;382,846;150,66;;8281,59
23.03.83;;;136,283;196,567;382,846;152,81;;8311,12
24.03.83;;;137,829;198,978;382,846;153,37;;8340,08
25.03.83;;;138,558;198,646;382,846;152,67;;8302,77
28.03.83;;;137,559;196,882;382,846;151,85;;8387,91
29.03.83;;;136,741;196,442;382,846;151,59;;8424,13
30.03.83;;;137,368;197,316;382,846;153,39;;8446,61
31.03.83;;;139,432;199,335;392,88;152,96;;8478,7
01.04.83;;;139,432;199,335;392,88;152,96;;8469
04.04.83;;;140,052;199,213;392,88;153,02;;8485,82
05.04.83;;;140,793;199,183;392,88;151,89;;8420,34
06.04.83;;;142,83;201,614;392,88;151,04;;8479,4
07.04.83;;;142,937;201,071;392,88;151,76;;8442,45
08.04.83;;;142,626;200,08;392,88;152,85;;8435,37
11.04.83;;;145,13;202,821;392,88;155,14;;8475,19
12.04.83;;;146,738;204,577;392,88;155,82;;8468,63
13.04.83;;;146,358;204,634;392,88;156,77;;8480,44
14.04.83;;;146,212;205,492;392,88;158,11;;8554,21
15.04.83;;;147,846;206,58;392,88;158,75;;8552,16
18.04.83;;;148,781;207,837;392,88;159,74;;8582,53
19.04.83;;;147,849;206,91;392,88;158,71;;8541,86
20.04.83;;;146,778;206,453;392,88;160,71;;8564,48
21.04.83;;;148,147;207,803;392,88;160,05;;8543,06
22.04.83;;;147,909;208,017;392,88;160,42;;8563,12
25.04.83;;;149,976;209,868;392,88;158,81;;8596,09
26.04.83;;;149,524;208,952;392,88;161,81;;8607,47
27.04.83;;;150,457;210,419;392,88;161,44;;8634,79
28.04.83;;;149,891;209,512;392,88;162,95;;8636,56
29.04.83;;;150,413;210,22;405,528;164,42;;8636,56
02.05.83;;;150,946;211,735;405,528;162,11;;8704,39
03.05.83;;;150,063;211,202;405,528;162,34;;8704,39
04.05.83;;;150,331;211,399;405,528;163,31;;8663,04
05.05.83;;;149,987;211,603;405,528;164,28;;8663,04
06.05.83;;;149,738;211,721;405,528;166,1;;8670,64
09.05.83;;;150,046;212,974;405,528;165,81;;8719,88
10.05.83;;;148,609;211,346;405,528;165,95;;8667,99
11.05.83;;;148,648;212,211;405,528;164,96;;8691,58
12.05.83;;;148,336;211,641;405,528;164,25;;8653,9
13.05.83;;;147,972;210,578;405,528;164,9;;8629,51
16.05.83;;;146,765;208,833;405,528;163,4;;8591,79
17.05.83;;;146,829;208,309;405,528;163,71;;8572,23
18.05.83;;;148,529;210,697;405,528;163,27;;8598,84
19.05.83;;;148,278;209,553;405,528;161,99;;8584,42
20.05.83;;;146,842;208,853;405,528;162,14;;8561,45
23.05.83;;;145,956;206,33;405,528;163,43;;8528,64
24.05.83;;;147,575;207,605;405,528;165,54;;8563,51
25.05.83;;;148,72;209,05;405,528;166,21;;8582,34
